date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:41	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1665747063-ssl-df	https://americanseries.netlify.app/robots.txt		(from )
12:40:42	67631/67631	---MCZ	200	added ('OK')	text/html	etag:%22d30a159653c1a37ab10a226b3ac73b9c-ssl-df%22	https://americanseries.netlify.app/	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/index.html	(from )
12:40:42	9939/9939	---M--	200	added ('OK')	image/png	etag:%2275c5d26a2005580e74213ed4836d004f-ssl%22	https://americanseries.netlify.app/img/logo_ventana.png	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/img/logo_ventana.png	(from https://americanseries.netlify.app/)
12:40:42	53593/53593	---MCZ	200	added ('OK')	text/css	etag:%22697c237e27c780f021ca0b0450131f2b-ssl-df%22	https://americanseries.netlify.app/americanseries.com/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/americanseries.com/wp-includes/css/dist/block-library/style.min.css	(from https://americanseries.netlify.app/)
12:40:42	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1665747063-ssl-df	https://americanseries.netlify.app/colocar%20enlaces%20aqui/comments/feed/	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/colocar%20enlaces%20aqui/comments/feed/index.html	(from https://americanseries.netlify.app/)
12:40:42	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1665747063-ssl-df	https://americanseries.netlify.app/colocar%20enlaces%20aqui/feed/	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/colocar%20enlaces%20aqui/feed/index.html	(from https://americanseries.netlify.app/)
12:40:43	5491/5491	---MCZ	200	added ('OK')	text/css	etag:%22fa682e545e05c8b9cea417b614a8bf7c-ssl-df%22	https://americanseries.netlify.app/americanseries.com/wp-content/plugins/christmasify/public/css/cf-christmasification-public.css	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/americanseries.com/wp-content/plugins/christmasify/public/css/cf-christmasification-public.css	(from https://americanseries.netlify.app/)
12:40:43	5461/5461	---MCZ	200	added ('OK')	text/css	etag:%2210518dd35483c087535d1ee17bb4cea1-ssl-df%22	https://americanseries.netlify.app/americanseries.com/wp-content/plugins/cookie-notice/css/front.min.css	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/americanseries.com/wp-content/plugins/cookie-notice/css/front.min.css	(from https://americanseries.netlify.app/)
12:40:44	3016/3016	---M-Z	200	added ('OK')	text/css	etag:%22c447601e6afc64749c3b282d2881c571-ssl-df%22	https://americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.owl.css	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.owl.css	(from https://americanseries.netlify.app/)
12:40:44	7549/7549	---MCZ	200	added ('OK')	text/css	etag:%220661950033b8476b723283e5d8e6b2ca-ssl-df%22	https://americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.icons.css	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.icons.css	(from https://americanseries.netlify.app/)
12:40:44	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1665747063-ssl-df	https://americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.crollbar.ccs	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.crollbar.6.delayed	(from https://americanseries.netlify.app/)
12:40:45	126423/126423	---MCZ	200	added ('OK')	text/css	etag:%22a8a787a13b8992883c3107963b38bdf3-ssl-df%22	https://americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.style.css	C:/My%20Web%20Sites/American%20Series/americanseries.netlify.app/americanseries.com/wp-content/themes/dooplay/assets/css/front.style.css	(from https://americanseries.netlify.app/)
